epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.794,1.65053,3.2414,1.52124,0.54947,0.03818,0.13513,0.06358,1.57054,3.37383,1.41208,0.000468772,0.000468772,0.000468772
2,1355.93,1.54836,2.52894,1.42432,0.63575,0.25257,0.27651,0.14651,1.63862,2.77202,1.54754,0.000898323,0.000898323,0.000898323
3,2020.6,1.56604,2.48999,1.46645,0.30547,0.39313,0.2867,0.15491,1.51858,2.73145,1.53018,0.00128072,0.00128072,0.00128072
4,3200.05,1.57208,2.34823,1.45271,0.56261,0.35005,0.31305,0.14769,1.6205,2.82851,1.56306,0.00121679,0.00121679,0.00121679
5,4078.3,1.50593,2.20151,1.41924,0.38566,0.39117,0.34864,0.18448,1.48928,2.30692,1.47867,0.00114606,0.00114606,0.00114606
6,4324.58,1.45089,2.13449,1.36123,0.28695,0.44316,0.31133,0.16922,1.47049,2.56886,1.47187,0.00107532,0.00107532,0.00107532
7,4520.84,1.47205,2.11704,1.38399,0.39263,0.41291,0.34815,0.19165,1.48332,2.23134,1.46539,0.00100459,0.00100459,0.00100459
8,4758.49,1.42746,2.08519,1.35685,0.39989,0.44572,0.35173,0.19245,1.44798,2.19745,1.44845,0.000933851,0.000933851,0.000933851
9,4948.5,1.40554,1.96644,1.34873,0.40547,0.50364,0.39387,0.23113,1.44896,2.071,1.42177,0.000863116,0.000863116,0.000863116
10,5124.64,1.38278,1.89987,1.3382,0.45598,0.42816,0.38949,0.22949,1.33538,2.20809,1.33524,0.00079238,0.00079238,0.00079238
11,5292.34,1.33587,2.03384,1.31728,0.447,0.47119,0.40143,0.23048,1.39409,2.06782,1.36345,0.000721645,0.000721645,0.000721645
12,5459.44,1.29885,1.91096,1.29731,0.44587,0.46345,0.43903,0.26012,1.35185,1.90223,1.33766,0.000650909,0.000650909,0.000650909
13,5623.61,1.25794,1.805,1.26969,0.41817,0.52251,0.43783,0.26446,1.35864,1.85593,1.34511,0.000580174,0.000580174,0.000580174
14,5792.42,1.24359,1.70482,1.25335,0.40385,0.53611,0.45842,0.28158,1.37415,1.77146,1.3573,0.000509438,0.000509438,0.000509438
15,6053.01,1.21666,1.64277,1.23768,0.51495,0.46324,0.46598,0.2711,1.36453,1.76582,1.34846,0.000438703,0.000438703,0.000438703
16,6218.13,1.20507,1.5993,1.23385,0.45636,0.50384,0.46421,0.28154,1.33512,1.70104,1.34609,0.000367967,0.000367967,0.000367967
17,6383.66,1.14853,1.53153,1.19662,0.46874,0.48062,0.45302,0.28416,1.30392,1.73894,1.29348,0.000297232,0.000297232,0.000297232
18,6547.8,1.14427,1.49873,1.17452,0.51211,0.49159,0.48481,0.30102,1.32185,1.70131,1.3184,0.000226497,0.000226497,0.000226497
19,6713.39,1.1201,1.44797,1.15621,0.46797,0.54609,0.48902,0.30665,1.30622,1.67727,1.29274,0.000155761,0.000155761,0.000155761
20,6872.55,1.09039,1.40919,1.14029,0.50279,0.52241,0.51409,0.32435,1.30067,1.64395,1.28456,8.50255e-05,8.50255e-05,8.50255e-05
